T27,Water supply and sanitation services,,,,,
11,Western Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",26.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",23.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",19.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",41.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",19.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",30.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",23.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",88.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",95.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",97.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2022,"Safely managed drinking water sources, total (Proportion of population with access)",97.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
21,Northern America,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",81.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",45.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",37.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",82.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",48.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
