T02,"Population, density and surface area",,,,,
14,Eastern Africa,2022,Population mid-year estimates for females (millions),239.68,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2022,Sex ratio (males per 100 females),98.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2022,Population aged 0 to 14 years old (percentage),41.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2022,Population aged 60+ years old (percentage),4.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2022,Population density,71.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2022,Surface area (thousand km2),"6,667",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
14,Eastern Africa,2024,Population mid-year estimates (millions),500.70,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2024,Population mid-year estimates for males (millions),248.26,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2024,Population mid-year estimates for females (millions),252.44,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2024,Sex ratio (males per 100 females),98.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,Population aged 0 to 14 years old (percentage),40.6,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,Population aged 60+ years old (percentage),4.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,Population density,75.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2010,Population mid-year estimates (millions),135.88,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2010,Population mid-year estimates for males (millions),67.42,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2010,Population mid-year estimates for females (millions),68.46,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2010,Sex ratio (males per 100 females),98.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
17,Middle Africa,2010,Population aged 60+ years old (percentage),4.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
17,Middle Africa,2010,Population density,20.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2015,Population mid-year estimates (millions),160.03,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2015,Population mid-year estimates for males (millions),79.49,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2015,Population mid-year estimates for females (millions),80.53,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2015,Sex ratio (males per 100 females),98.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
