T03,Population growth and indicators of fertility and mortality,,,,,
14,Eastern Africa,2015,Total fertility rate (children per women),4.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",69.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",429,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
14,Eastern Africa,2015,Life expectancy at birth for both sexes (years),61.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,Life expectancy at birth for males (years),59.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,Life expectancy at birth for females (years),63.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2020,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2020,Total fertility rate (children per women),4.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",54.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",351,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
14,Eastern Africa,2020,Life expectancy at birth for both sexes (years),64.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2020,Life expectancy at birth for males (years),61.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2020,Life expectancy at birth for females (years),67.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,Population annual rate of increase (percent),2.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2024,Total fertility rate (children per women),4.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,"Under five mortality rate for both sexes (per 1,000 live births)",48.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2024,Life expectancy at birth for both sexes (years),65.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,Life expectancy at birth for males (years),63.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2024,Life expectancy at birth for females (years),68.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
17,Middle Africa,2010,Population annual rate of increase (percent),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,Middle Africa,2010,Total fertility rate (children per women),6.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
